ID,aggressive act,carcass mass,block,mite treatment,focal body size,before or after the fight,behaviour,nonfocal body size,relative difference in body size,difference in beetle temperature,difference in beetle temperature before fight
63,78,10.52,2,without mites,4.45,before,attack,4.43,0.004514673,0.8,0.8
63,79,10.52,2,without mites,4.45,before,attack,4.43,0.004514673,0.7,0.7
63,80,10.52,2,without mites,4.45,before,attack,4.43,0.004514673,0.6,0.6
63,81,10.52,2,without mites,4.45,before,wrestle,4.43,0.004514673,0.8,0.8
63,82,10.52,2,without mites,4.45,before,wrestle,4.43,0.004514673,1,1
63,83,10.52,2,without mites,4.45,before,wrestle,4.43,0.004514673,1.7,1.7
63,84,10.52,2,without mites,4.45,before,wrestle,4.43,0.004514673,1.2,1.2
63,85,10.52,2,without mites,4.43,before,wrestle,4.45,-0.004494382,1.7,1.7
63,86,10.52,2,without mites,4.45,before,wrestle,4.43,0.004514673,2.3,2.3
63,87,10.52,2,without mites,4.45,before,wrestle,4.43,0.004514673,0.7,0.7
63,88,10.52,2,without mites,4.45,before,attack,4.43,0.004514673,2.2,2.2
63,89,10.52,2,without mites,4.45,before,wrestle,4.43,0.004514673,1.2,1.2
63,90,10.52,2,without mites,4.45,before,attack,4.43,0.004514673,1.4,1.4
63,91,10.52,2,without mites,4.43,before,attack,4.45,-0.004494382,1.9,1.9
63,92,10.52,2,without mites,4.43,before,attack,4.45,-0.004494382,2.2,2.2
63,93,10.52,2,without mites,4.45,before,wrestle,4.43,0.004514673,2.3,2.3
63,94,10.52,2,without mites,4.43,before,wrestle,4.45,-0.004494382,1.2,1.2
65,95,8.9,2,without mites,4.74,before,attack,4.73,0.002114165,0.3,0.3
65,96,8.9,2,without mites,4.74,before,wrestle,4.73,0.002114165,0.5,0.5
11,1,11.54,1,with mites,5.02,after,attack,5,0.004,0.6,0.5
11,3,11.54,1,with mites,5.02,after,attack,5,0.004,0.7,0.7
11,4,11.54,1,with mites,5.02,after,attack,5,0.004,0.9,0.6
11,5,11.54,1,with mites,5.02,after,attack,5,0.004,0.5,0.4
11,6,11.54,1,with mites,5.02,after,attack,5,0.004,0.4,0.3
11,7,11.54,1,with mites,5,after,attack,5.02,-0.003984064,0.3,0.4
