individual ID,bodysize (mm),bodysize,treatment,experimental weight (mg),beetle volume,beetle dorsal surface,covered beetle dorsal surface ,beetle ventral surface, covered beetle ventral surface,sum of beetle surface,sum of covered surface,sum of beetle surface - sum of covered beetle surface,proportion of beetle surface area covered by mites,log surface covered,surfacevolumeratio
19,5.09,Large,zero,0,220.9,93.263,,62.707,,155.97,,155.97,,,0.706066093
20,5.15,Large,zero,0,222.2,81.149,,86.391,,167.54,,167.54,,,0.754005401
22,5.12,Large,zero,0,195.8,86.969,,68.819,,155.788,,155.788,,,0.795648621
23,5.15,Large,zero,0,218.6,82.171,,58.849,,141.02,,141.02,,,0.645105215
24,5.15,Large,zero,0,266.6,84.297,,85.821,,170.118,,170.118,,,0.638102026
25,5.17,Large,zero,0,273.2,90.553,,71.728,,162.281,,162.281,,,0.594000732
26,5.19,Large,zero,0,260.5,88.026,,81.443,,169.469,,169.469,,,0.650552783
27,5.41,Large,zero,0,265.1,90.146,,61.45,,151.596,,151.596,,,0.571844587
28,4.39,Small,zero,0,146.4,55.595,,51.216,,106.811,,106.811,,,0.729583333
29,5.21,Large,zero,0,232,76.099,,78.735,,154.834,,154.834,,,0.667387931
30,5.51,Large,zero,0,260.9,81.411,,79.739,,161.15,,161.15,,,0.617669605
